CID,Name,Credits,Description,Prerequisites,Category,Tag,Eclass,Prerequisites
COMP 110, Introduction to Programming, 3 Credits,"An introduction to programming. Fundamental programming skills, typically using Java or JavaScript. Problem analysis and algorithmdesign. Students may not receive credit for both COMP 110 and COMP 116. Honors version available",None,Intro,,"1,46",0
COMP 116, Introduction to Scientific Programming, 3 Credits,"An introduction to programming for computationally oriented scientists. Fundamental programming skills, typically using MATLAB or Python.Problem analysis and algorithm design with examples drawn from simple numerical and discrete problems. Students can receive credit foronly one of COMP 110 and 116.",MATH 231,Intro,,"2,46,48",39
COMP 283, Discrete Structures, 3 Credits,"Introduces discrete structures (sets, tuples, relations, functions, graphs, trees) and the formal mathematics (logic, proof, induction) used toestablish their properties and those of algorithms that work with them. Develops problem-solving skills through puzzles and applicationscentral to computer science.",MATH 231/241,Intermediate,,3,39
COMP 401, Foundation of Programming, 4 Credits,"Required preparation, a first formal course in computer programming (e.g., COMP 110, COMP 116). Advanced programming: object- oriented design, classes, interfaces, packages, inheritance, delegation, observers, MVC (model view controller), exceptions, assertions. Honors version available",None,Intermediate,,"4,48",0
COMP 410, Data Structures, 3 Credits,"The analysis of data structures and their associated algorithms. Abstract data types, lists, stacks, queues, trees, and graphs. Sorting,searching, hashing.",COMP 401,Intermediate,,5,4
COMP 411, Computer Organization, 4 Credits,"Digital logic, circuit components. Data representation, computer architecture and implementation, assembly language programming.",COMP 401,Intermediate,,6,4
COMP 426, Modern Web Programming, 3 Credits,"Developing applications for the World Wide Web including both client-side and server-side programming. Emphasis on Model-ViewController architecture, AJAX, RESTful Web services, and database interaction.","COMP 401, 410","Networking, App Development",,7,"4,5"
COMP 431, Internet Services and Protocols, 3 Credits,"Application-level protocols HTTP, SMTP, FTP, transport protocols TCP and UDP, and the network-level protocol IP. Internet architecture,naming, addressing, routing, and DNS. Sockets programming. Physical-layer technologies. Ethernet, ATM, and wireless.","COMP 401, 410, 411",Networking,,"8,47","4,5,6"
COMP 455, Models of Languages and Computation, 3 Credits,"Introduction to the theory of computation. Finite automata, regular languages, pushdown automata, context-free languages, and Turingmachines. Undecidable problems.","COMP 401, COMP 283/MATH 381",Intermediate,,9,"3,4"
COMP 486, Applications of Natural Language Processing, 3 Credits,"Study of applications of natural language processing techniques and the representations and processes needed to support them. Topicsinclude interfaces, text retrieval, machine translation, speech processing, and text generation.",COMP 110/116/121,AI,,10,46
COMP 487, Information Retrieval, 3 Credits,"Study of information retrieval and question answering techniques, including document classification, retrieval and evaluation techniques,handling of large data collections, and the use of feedback.",None,AI,,11,0
COMP 495, Mentored Research in Computer Science, 3 Credits,Independent research conducted under the direct mentorship of a computer science faculty member. This course cannot be counted towardthe completion of the major or minor. For computer science majors only.,None,NA,,12,0
COMP 496, Independent Study in Computer Science, 1-3 Credits,Permission of the director of undergraduate studies. Computer science majors only. For advanced majors in computer science who wish toconduct an independent study or research project with a faculty supervisor. May be taken repeatedly for up to a total of six credit hours.,None,NA,,13,0
COMP 520, Compilers, 3 Credits,"Design and construction of compilers. Theory and pragmatics of lexical, syntactic, and semantic analysis. Interpretation. Code generationfor a modern architecture. Run-time environments. Includes a large compiler implementation project.","COMP 401, 410, 411, 455",Grad School,,14,"4,5,6,9"
COMP 521, Files and Databases, 3 Credits,"Placement of data on secondary storage. File organization. Database history, practice, major models, system structure and design.","COMP 410, 411, COMP 283/MATH 381","Grad School, App Development",,15,"3,5,6"
COMP 523, Software Engineering Laboratory, 4 Credits,"Organization and scheduling of software engineering projects, structured programming, and design. Each team designs, codes, and debugsprogram components and synthesizes them into a tested, documented program product.","COMP 401, 410, 411, 2 from COMP 426, 431, 520, 521, 530, 535, 560, 562, 575, 580, 585",NA,,16,"4,5,6,7, 8, 14, 15, 18, 20, 24, 25, 27, 29, 31"
COMP 524, Programming Language Concepts, 3 Credits,"Concepts of high-level programming and their realization in specific languages. Data types, scope, control structures, proceduralabstraction, classes, concurrency. Run-time implementation.","COMP 401, 410",Grad School,,17,"4,5"
COMP 530, Operating Systems, 3 Credits,"Types of operating systems. Concurrent programming. Management of storage, processes, devices. Scheduling, protection. Case study.Course includes a programming laboratory. Honors version available","COMP 401, 410, 411","Networking, Grad School",,"18,47","4,5,6"
COMP 533, Distributed Systems, 3 Credits,"Distributed systems and their goals; resource naming, synchronization of distributed processes; consistency and replication; fault tolerance;security and trust; distributed object-based systems; distributed file systems; distributed Web-based systems; and peer-to-peer systems.",COMP 431/530,Networking,,19,47
COMP 535, Introduction to Computer Security, 3 Credits," Principles of securing the creation, storage, and transmission of data and ensuring its integrity, confidentiality and availability. Topics includeaccess control, cryptography and cryptographic protocols, network security, and online privacy.","COMP 401, 410, COMP 283/MATH 381",Security,,20,"3,4,5"
COMP 541, Digital Logic and Computer Design, 4 Credits,This course is an introduction to digital logic as well as the structure and electronic design of modern processors. Students will implement aworking computer during the laboratory sessions.,"COMP 401, 411",Grad School,,21,"4,6"
COMP 550, Algorithms and Analysis, 3 Credits,Formal specification and verification of programs. Techniques of algorithm analysis. Problem-solving paradigms. Survey of selectedalgorithms.,"COMP 410, COMP 283/MATH 381",Grad School,,22,"3,5"
COMP 555, Bioalgorithms, 3 Credits,"Bioinformatics algorithms. Topics include DNA restriction mapping, finding regulatory motifs, genome rearrangements, sequencealignments, gene prediction, graph algorithms, DNA sequencing, protein sequencing, combinatorial pattern matching, approximate patternmatching, clustering and evolution, tree construction, Hidden Markov Models, randomized algorithms.","COMP 410, COMP 283/MATH 381","AI, Grad School",,23,"3,5"
COMP 560, Artificial Intelligence, 3 Credits,"Introduction to techniques and applications of modern artificial intelligence. Combinatorial search, probabilistic models and reasoning, andapplications to natural language understanding, robotics, and computer vision.","COMP 401, 410, MATH 231",AI,,24,"4,5, 39"
COMP 562, Introduction to Machine Learning, 3 Credits,"Machine learning as applied to speech recognition, tracking, collaborative filtering and recommendation systems. Classification, regression,support vector machines, hidden Markov models, principal component analysis, and deep learning.","COMP 401, 410, MATH 233, STOR 435","AI, Grad School",,25,"4,5,40, 43"
COMP 572, Computational Photography, 3 Credits,The course provides a hands on introduction to techniques in computational photography--the process of digitally recording light and thenperforming computational manipulations on those measurements to produce an image or other representation. The course includes anintroduction to relevant concepts in computer vision and computer graphics.,"COMP 401, 410, MATH 547/577",Graphics,,26,"4,5, 44"
COMP 575, Introduction to Computer Graphics, 3 Credits,"Hardware, software, and algorithms for computer graphics. Scan conversion, 2-D and 3-D transformations, object hierarchies. Hiddensurface removal, clipping, shading, and antialiasing. Not for graduate computer science credit.","COMP 401, 410, MATH 547",Graphics,,27,"4,5,44"
COMP 576, Mathematics for Image Computing, 3 Credits,Mathematics relevant to image processing and analysis using real image computing objectives and provided by computer implementations.,"COMP 116/401, MATH 233",Graphics,,28,"48, 40"
COMP 580, Enabling Technologies, 3 Credits, We will investigate ways computer technology can be used to mitigate the effects of disabilities and the sometimes surprising response ofthose we intended to help.,"COMP 401, 410",App Development,,29,"4,5"
COMP 581, Introduction to Robotics, 3 Credits,"Instructor permission for students lacking the prerequisites. Hands-on introduction to robotics with a focus on the computational aspects.Students will build and program mobile robots. Topics include kinematics, actuation, sensing, configuration spaces, control, and motionplanning. Applications include industrial, mobile, personal, and medical robots. Honors version available","COMP 401, 410",AI,,30,"4,5"
COMP 585, Serious Games, 3 Credits,"Concepts of computer game development and their application beyond entertainment to fields such as education, health, and business.Course includes team development of a game. Honors version available","COMP 401, 410, 411",App Development,,31,"4,5,6"
COMP 631, Computer Networks, 3 Credits,"Required preparation, a first course in operating systems, a first course in networking (e.g., COMP 431 and 530), and knowledge ofprobability and statistics. Topics in computer networks, including link layer protocols, switching, IP, TCP, and congestion control. Additionaltopics may include peer-to-peer infrastructures, network security, and multimedia applications.",None,Networking,,32,0
COMP 633, Parallel and Distributed Computing, 3 Credits,"Required preparation, a first course in operating systems and a first course in algorithms (e.g., COMP 530 and 550). Principles andpractices of parallel and distributed computing. Models of computation. Concurrent programming languages and systems. Architectures.Algorithms and applications. Practicum.",None,Networking,,33,0
COMP 635, Wireless and Mobile Communications, 3 Credits,This course builds an understanding of the core issues encountered in the design of wireless (vs. wired) networks. It also exposes studentsto fairly recent paradigms in wireless communication.,COMP 431,Networking,,34,8
COMP 651, Computational Geometry, 3 Credits,"Required preparation, a first course in algorithms (e.g., COMP 550). Design and analysis of algorithms and data structures for geometricproblems. Applications in graphics, CAD/CAM, robotics, GIS, and molecular biology.",None,Graphics,,35,0
COMP 655, Cryptography, 3 Credits,"Instructor permission for students lacking prerequisites. Introduction to design and analysis of cryptographic algorithms. Topics includebasis of abstract algebra and number theory, symmetric and asymmetric encryption algorithms, cryptographic hash functions, messageauthentication codes, digital signature schemes, elliptic curve algorithms, side-channel attacks, selected advanced topics","COMP 455, STOR 435",Security,,36,"9,43"
